ID,Gender,MaritalStatus,Education,CommuteDistance,PerformanceRating,PercentSalaryHike,MonthlyIncome,StockOptionLevel,CompanyProfit,Department,BusinessTravel,YearsWithCurrentManager,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,TrainingHoursLastYear,TotalWorkingYears,YearsInCurrentRole,YearsAtCompany,NumbersCompaniesWorked,WorkLifeBal,JobLevel
140000,Female,Married,Post-Graduate,1,5,12,63779,2,-2,Testing,2,3,5,4,2,2,8,3,8,1,3,Product Manager
14001,Female,Single,Graduate,4,4,6,79004,3,1,Consultancy,3,8,3,2,5,2,15,6,11,2,4,VP
14002,Male,Single,Doctorate,2,5,9,90519,3,-2,Testing,3,5,5,3,2,2,12,6,10,2,3,Product Owner
14003,Male,Married,Post-Graduate,3,4,9,75084,2,1,People Management,3,5,2,4,3,2,17,4,9,3,4,Product Owner
140040,Male,Single,Graduate,1,3,9,85632,2,-2,Training,3,3,0,3,4,1,16,4,13,3,5,VP
14005,Female,Single,Graduate,1,4,8,60938,2,0,Public Relations,2,3,2,4,5,2,11,5,9,2,4,Product Manager
140060,Male,Married,Post-Graduate,2,3,18,46048,2,-1,Product Management,2,1,2,3,1,2,17,3,5,4,5,Senior Developer
14007,Male,Married,Post-Graduate,3,5,8,64353,2,-1,DevOps,2,6,5,5,2,1,9,6,8,2,4,Product Manager
140080,Female,Married,Post-Graduate,4,3,9,86862,2,0,Development,3,2,4,1,1,2,9,6,9,1,2,Product Owner
14009,Male,Married,Post-Graduate,4,5,7,89287,3,1,Public Relations,3,8,6,3,1,1,15,8,10,3,1,VP
14010,Male,Married,Post-Graduate,1,5,7,94214,2,-1,DevOps,3,2,5,3,5,4,11,5,9,3,4,Product Owner
14011,Male,Married,Post-Graduate,2,3,6,76854,2,-1,DevOps,3,6,1,3,1,3,15,3,9,3,1,Product Owner
14012,Male,Single,Post-Graduate,2,4,9,86894,2,0,HR,3,2,3,4,5,1,11,7,10,2,4,Product Owner
14013,Female,Married,Graduate,4,5,16,48429,2,-2,Public Relations,2,1,1,4,5,2,11,5,6,3,5,Senior Developer
14014,Male,Single,Graduate,3,5,8,88411,2,-1,DevOps,3,5,1,1,2,2,18,5,11,4,2,VP
14015,Female,Married,Post-Graduate,4,3,7,84143,2,0,Sales,3,6,5,5,4,4,15,8,12,2,4,VP
14016,Female,Married,Post-Graduate,3,4,8,91834,3,0,Sales,3,6,1,3,4,4,15,4,11,2,4,VP
14017,Female,Married,Graduate,2,3,7,79296,2,-1,Training,3,9,4,5,4,4,15,10,10,2,4,VP
14018,Female,Married,Doctorate,4,4,16,53458,2,1,HR,2,1,1,1,1,3,15,4,5,3,2,Senior Developer
14019,Female,Divorced,Post-Graduate,1,4,8,88767,3,1,Product Management,3,5,4,3,1,4,16,4,9,3,1,Product Owner
14020,Male,Married,Doctorate,1,3,11,46198,2,-1,Consultancy,2,6,5,5,2,1,13,6,10,4,2,Product Manager
14021,Female,Married,Graduate,1,3,9,45830,2,1,Sales,3,6,2,1,4,2,19,7,9,4,2,Product Manager
14022,Female,Single,Post-Graduate,3,3,8,94277,3,-1,Development,3,3,4,4,5,4,19,8,10,4,5,Product Owner
14023,Male,Married,Post-Graduate,4,3,8,80054,3,0,Public Relations,3,3,1,4,2,3,15,3,9,4,1,Product Owner
14024,Male,Married,Post-Graduate,2,5,8,57090,2,1,Product Management,3,5,2,3,4,4,18,5,10,2,4,Product Manager
14025,Male,Married,Graduate,4,4,6,82567,2,-2,Training,3,8,5,3,4,1,15,8,14,4,2,VP
14026,Male,Married,Post-Graduate,2,3,7,94387,2,-1,Consultancy,3,5,0,3,3,3,11,6,10,3,1,Product Owner
14027,Male,Divorced,Graduate,2,5,7,79834,2,0,Consultancy,3,7,2,5,5,1,15,4,10,3,1,Product Owner
14028,Male,Married,Post-Graduate,3,5,12,52132,2,1,Development,2,0,1,2,5,4,18,5,7,2,4,Senior Developer
14029,Female,Married,Graduate,4,3,8,85553,2,1,Testing,3,4,3,3,4,4,20,3,11,3,3,Product Owner
14030,Male,Divorced,Graduate,2,3,8,54162,2,-2,Development,3,5,0,5,2,4,20,3,8,2,4,Product Manager
14031,Male,Married,Doctorate,2,4,7,82178,2,0,Product Management,3,5,0,3,1,4,19,4,9,4,4,Product Owner
14032,Male,Married,Graduate,4,3,12,58454,2,-1,Development,3,5,2,2,5,4,13,4,10,2,5,Product Manager
14033,Female,Married,Graduate,1,5,8,87023,3,0,Development,3,3,4,3,3,4,11,4,9,4,1,Product Owner
14034,Female,Married,Graduate,3,4,10,46625,2,-2,Testing,3,7,5,1,2,3,14,4,8,4,3,Product Manager
14035,Male,Married,Doctorate,1,3,11,50412,2,1,Sales,2,5,2,5,4,1,9,7,8,4,1,Product Manager
14036,Male,Married,Post-Graduate,1,3,6,94831,2,0,Product Management,3,5,2,5,3,2,11,8,10,3,3,Product Owner
14037,Male,Married,Post-Graduate,2,5,8,81993,2,-2,HR,3,3,2,2,2,4,18,4,11,2,1,Product Owner
14038,Male,Single,Graduate,3,3,8,86507,3,1,HR,3,4,0,3,2,1,15,6,11,2,2,Product Owner
14039,Female,Married,Post-Graduate,4,3,7,77818,3,0,Sales,3,4,2,3,5,1,16,5,11,3,4,Product Owner
14040,Male,Single,Graduate,4,3,10,45817,2,1,Product Management,3,3,4,5,2,1,15,6,10,4,4,Product Manager
14041,Female,Married,Post-Graduate,1,3,18,59849,2,0,HR,2,2,1,4,5,3,16,5,6,4,2,Senior Developer
14042,Male,Married,Graduate,4,3,8,82740,3,0,Consultancy,3,5,5,1,5,4,20,4,11,3,2,VP
14043,Male,Married,Doctorate,1,4,8,50350,2,0,Development,2,7,0,4,5,4,16,4,9,1,3,Product Manager
14044,Male,Married,Post-Graduate,3,3,6,80596,2,-1,Product Management,3,2,4,2,1,1,12,8,11,4,1,Product Owner
14045,Female,Married,Post-Graduate,3,4,9,87450,2,0,Development,3,6,0,1,3,3,15,8,10,3,3,Product Owner
14046,Male,Married,Post-Graduate,4,3,9,50310,2,-2,People Management,2,6,4,3,5,2,9,3,8,3,1,Product Manager
14047,Female,Married,Post-Graduate,4,3,8,81337,3,-1,Training,3,4,3,5,4,1,10,4,9,4,2,Product Owner
14048,Female,Divorced,Graduate,4,5,8,88438,2,-1,Development,3,3,2,5,4,3,20,7,13,3,5,VP
14049,Female,Married,Post-Graduate,3,4,9,88184,3,1,Testing,3,2,1,2,1,4,14,7,9,4,2,Product Owner
14050,Female,Divorced,Doctorate,4,5,17,59834,2,0,Testing,3,0,0,4,1,3,11,3,5,2,5,Senior Developer
14051,Female,Married,Graduate,4,4,8,93546,2,0,Consultancy,3,8,2,5,2,3,20,5,14,2,2,VP
14052,Female,Single,Doctorate,4,4,6,90609,2,0,Public Relations,3,4,5,4,1,1,15,8,9,2,3,Product Owner
14053,Male,Married,Doctorate,1,3,8,85622,3,0,Sales,3,7,2,5,2,4,18,8,10,3,5,VP
14054,Male,Married,Graduate,3,3,8,93257,2,-1,People Management,3,7,5,5,3,4,19,7,9,2,3,Product Owner
14055,Male,Married,Graduate,3,4,8,77898,2,-2,DevOps,3,8,1,2,1,1,18,8,11,2,3,VP
14056,Male,Married,Post-Graduate,3,3,7,80201,3,-1,HR,3,7,3,2,4,3,18,5,11,2,2,Product Owner
14057,Male,Married,Post-Graduate,3,4,6,81097,2,-2,People Management,3,3,0,4,3,1,11,6,9,3,4,Product Owner
14058,Male,Married,Post-Graduate,2,3,13,54895,2,0,HR,3,3,2,5,3,4,15,3,7,3,5,Senior Developer
14059,Male,Married,Graduate,4,3,18,53262,2,-1,Testing,2,2,1,4,4,4,8,4,6,3,2,Senior Developer
14060,Female,Single,Graduate,4,3,11,58524,2,-1,Sales,2,4,5,5,4,1,11,7,9,3,4,Product Manager
14061,Male,Married,Post-Graduate,3,3,6,82468,3,-2,Sales,3,2,0,5,4,4,20,7,9,2,4,Product Owner
14062,Female,Married,Graduate,3,4,18,54722,2,1,Consultancy,3,1,0,4,1,2,8,3,6,4,5,Senior Developer
14063,Male,Married,Doctorate,1,5,6,92400,2,0,Consultancy,3,7,2,3,3,4,13,4,10,4,2,Product Owner
14064,Male,Married,Graduate,2,5,17,52436,2,-1,People Management,2,2,1,3,4,2,13,3,8,3,2,Senior Developer
14065,Female,Married,Doctorate,3,5,7,77290,2,1,Public Relations,3,4,0,3,5,3,8,3,8,1,5,Product Owner
14066,Male,Married,Post-Graduate,4,4,13,49493,2,0,Testing,2,1,3,4,4,1,14,5,8,1,2,Senior Developer
14067,Male,Married,Doctorate,4,3,6,75272,2,1,HR,3,3,2,4,2,3,14,6,11,4,4,Product Owner
14068,Male,Married,Post-Graduate,3,4,8,53065,2,-1,Public Relations,2,7,4,4,2,3,8,3,8,1,4,Product Manager
14069,Female,Married,Graduate,3,4,8,55722,2,1,Sales,2,3,4,5,5,1,19,7,8,3,4,Product Manager
14070,Male,Married,Graduate,4,4,8,84810,2,-2,People Management,3,8,0,4,5,1,20,9,12,3,1,VP
14071,Male,Married,Graduate,1,3,8,78462,2,-2,Product Management,3,4,4,4,5,2,9,3,9,1,4,Product Owner
14072,Female,Married,Post-Graduate,3,4,17,54415,2,-1,HR,3,2,1,3,3,4,8,3,7,4,3,Senior Developer
14073,Male,Single,Graduate,1,5,7,90447,3,-1,Training,3,7,1,1,1,2,12,4,11,2,2,Product Owner
14074,Male,Divorced,Graduate,1,4,8,77297,3,1,Development,3,5,1,1,5,3,18,6,11,3,2,VP
14075,Female,Single,Post-Graduate,2,5,8,86666,3,0,Sales,3,7,3,3,1,2,13,7,9,2,5,Product Owner
14076,Female,Married,Graduate,4,3,7,83419,2,-2,Public Relations,3,2,2,2,3,4,17,5,9,2,2,Product Owner
14077,Male,Married,Graduate,4,3,9,76248,3,0,HR,3,3,0,3,3,1,16,8,9,2,4,Product Owner
14078,Male,Married,Graduate,3,3,12,52463,2,-2,Consultancy,3,3,2,3,4,2,9,4,8,2,3,Senior Developer
14079,Female,Divorced,Post-Graduate,2,3,7,89671,3,-1,HR,3,7,5,5,1,1,16,4,14,4,2,VP
14080,Female,Married,Graduate,4,4,18,60387,2,0,Development,2,2,1,2,5,3,8,3,7,1,4,Senior Developer
14081,Male,Divorced,Graduate,2,3,9,91678,3,0,HR,3,7,2,1,2,1,18,7,12,2,5,VP
14082,Male,Divorced,Post-Graduate,3,4,13,59278,2,0,DevOps,3,2,2,2,2,4,10,5,5,1,4,Senior Developer
14083,Male,Married,Graduate,2,4,7,83722,2,0,Consultancy,3,7,3,4,2,2,16,7,12,3,5,VP
14084,Female,Married,Doctorate,2,3,6,75918,2,1,DevOps,3,5,0,3,4,1,14,3,10,3,2,Product Owner
14085,Male,Married,Doctorate,3,3,9,56255,2,1,Product Management,3,5,2,4,3,3,18,3,8,1,3,Product Manager
14086,Male,Married,Doctorate,2,3,8,80768,3,0,Development,3,3,1,3,2,4,19,8,10,4,3,VP
14087,Male,Married,Graduate,3,4,7,88933,3,0,Public Relations,3,5,4,2,4,2,20,3,12,3,4,VP
14088,Female,Single,Post-Graduate,4,5,12,56731,2,1,Sales,3,6,0,4,5,3,11,6,9,4,4,Product Manager
14089,Male,Single,Post-Graduate,2,3,7,76326,3,-1,Consultancy,3,3,1,4,1,2,20,9,14,2,4,VP
14090,Female,Married,Post-Graduate,4,4,6,75738,2,-2,Consultancy,3,4,6,3,4,4,15,4,13,2,3,VP
14091,Male,Married,Post-Graduate,3,4,12,58381,2,1,HR,3,0,2,2,3,1,12,3,8,3,3,Senior Developer
14092,Male,Married,Post-Graduate,3,5,11,60755,2,-1,Development,2,5,2,2,4,2,16,6,9,2,2,Product Manager
14093,Male,Single,Graduate,1,4,8,75074,2,1,Sales,3,5,4,2,2,4,15,3,10,4,5,VP
14094,Male,Married,Post-Graduate,3,4,6,75102,2,1,Consultancy,3,7,5,3,3,3,19,8,10,2,4,VP
